sequence,system_time,ros_time,message_stamp,source_frame,world_frame,odom_valid,graph_initialized,start_x,start_y,start_z,source_goal_x,source_goal_y,source_goal_z,goal_x,goal_y,goal_z,session_id,selection_in_session,odom_stamp,semantic_map_stamp,odom_age_wall_s,semantic_map_age_wall_s,start_heading_x,start_heading_y,start_heading_z,nav_graph_nodes,static_global_nodes,static_candidate_nodes,dynamic_local_nodes,current_static_points,current_dynamic_points,semantic_graph_dirty,planner_running,previous_waypoint_valid,previous_waypoint_x,previous_waypoint_y,previous_waypoint_z
41,2026-08-12T10:42:20.513,116.208000000,115.840000000,world,world,1,1,14.4481,-9.2808,0.2402,28.1009,-47.7588,0.0000,28.1009,-47.7588,0.0000,2026-08-12T10:40:08.240,2,116.184000000,115.700000000,0.000003242,0.471764002,0.1195,-0.9928,0.0000,62,48,0,12,807,28,0,1,1,18.4322,-26.7125,0.0000
42,2026-08-12T10:46:27.206,318.226000000,318.033000000,world,world,1,1,5.7072,-47.1390,0.2157,17.5353,-55.6836,0.0000,17.5353,-55.6836,0.0000,2026-08-12T10:40:08.240,3,318.224000000,318.000000000,0.000002930,0.001683409,0.9981,-0.0609,0.0000,87,85,6,0,1219,0,1,1,1,28.1009,-47.7588,0.0000
43,2026-08-12T12:27:18.331,1786508838.331790209,1786508838.154989719,world,world,1,1,-2.2154,5.3308,0.1323,3.5132,13.6717,0.1323,3.5132,13.6717,0.1323,2026-08-12T12:26:56.515,1,19.445000000,20.100000000,0.201981749,0.000265227,0.7360,0.6769,0.0000,24,22,1,0,209,0,1,0,0,0.0000,0.0000,0.0000
44,2026-08-12T12:27:26.733,1786508846.733958721,1786508846.713602543,world,world,1,1,3.3856,14.1987,0.1323,-4.0000,4.0000,0.1323,-4.0000,4.0000,0.1323,2026-08-12T12:26:56.515,2,53.771000000,53.700000000,0.000002169,0.000281169,0.9874,-0.1582,0.0000,51,31,0,18,566,91,1,1,1,3.5132,13.6717,-0.1000
45,2026-08-12T12:30:28.049,1786509028.049265146,1786509027.875449181,world,world,1,1,-4.0000,4.0000,0.1323,3.5132,13.6717,0.1323,3.5132,13.6717,0.1323,2026-08-12T12:30:09.440,1,15.128000000,14.900000000,0.000001874,0.198244801,1.0000,0.0000,0.0000,23,22,0,0,166,0,0,0,0,0.0000,0.0000,0.0000
46,2026-08-12T12:31:06.849,1786509066.849370956,1786509066.655477762,world,world,1,1,3.3946,14.1953,0.1323,-4.0000,4.0000,0.1323,-4.0000,4.0000,0.1323,2026-08-12T12:30:09.440,2,53.792000000,53.600000000,0.188356280,0.189030404,0.9861,-0.1660,0.0000,53,33,1,18,566,89,0,1,1,3.5132,13.6717,-0.1000
47,2026-08-12T12:32:44.621,1786509164.621942520,1786509164.547125578,world,world,1,1,-4.0000,4.0000,0.1323,3.5132,13.6717,0.1323,3.5132,13.6717,0.1323,2026-08-12T12:32:32.606,1,15.246000000,15.100000000,0.000002851,0.000209543,1.0000,0.0000,0.0000,23,22,0,0,166,0,1,0,0,0.0000,0.0000,0.0000
48,2026-08-12T12:33:23.231,1786509203.231099367,1786509203.182398319,world,world,1,1,3.4113,14.1888,0.1323,-4.0000,4.0000,0.1323,-4.0000,4.0000,0.1323,2026-08-12T12:32:32.606,2,53.831000000,53.700000000,0.000003526,0.000576042,0.9836,-0.1805,0.0000,53,33,0,18,566,91,1,1,1,3.5132,13.6717,-0.1000
49,2026-08-12T13:35:34.198,42.896000000,42.859000000,world,world,1,1,3.9759,18.0001,0.2912,11.9621,-57.3682,0.0000,11.9621,-57.3682,0.0000,2026-08-12T13:34:53.107,1,42.893000000,42.800000000,0.000878628,0.000115540,1.0000,-0.0001,0.0000,14,4,0,9,152,19,1,0,0,0.0000,0.0000,0.0000
50,2026-08-12T17:36:00.848,2398.762000000,0.000000000,world,world,1,1,3.9755,18.0001,0.2907,11.9621,-57.3682,0.0000,11.9621,-57.3682,0.0000,2026-08-12T16:52:03.873,1,2398.749000000,2398.600000000,0.001546931,0.000146549,1.0000,-0.0001,0.0000,13,4,0,8,152,21,1,0,0,0.0000,0.0000,0.0000
51,2026-08-12T17:45:11.486,2841.160000000,0.000000000,world,world,1,1,3.9755,18.0001,0.2906,15.0000,28.0000,0.0000,15.0000,28.0000,0.0000,2026-08-12T16:52:03.873,2,2841.134000000,2841.000000000,0.001378506,0.000119301,1.0000,-0.0001,0.0000,14,4,0,8,152,15,1,1,1,11.9621,-57.3682,0.0000
52,2026-08-12T17:57:46.903,42.828000000,42.637000000,world,world,1,1,3.9759,18.0001,0.2912,15.1283,-45.1492,0.0000,15.1283,-45.1492,0.0000,2026-08-12T17:57:10.445,1,42.808000000,42.700000000,0.000625794,0.000096565,1.0000,-0.0001,0.0000,14,4,0,9,152,16,1,0,0,0.0000,0.0000,0.0000
53,2026-08-12T17:59:17.334,116.427000000,116.064000000,world,world,1,1,24.3533,-24.2723,0.2426,27.4998,-61.3757,0.0000,27.4998,-61.3757,0.0000,2026-08-12T17:57:10.445,2,116.414000000,115.900000000,0.000001967,0.473560813,0.9075,-0.4202,0.0000,76,63,17,6,1025,35,0,1,1,37.2951,-30.8832,0.2432
54,2026-08-12T18:00:23.703,170.046000000,170.013000000,world,world,1,1,33.6324,-18.1734,0.2757,37.7528,-15.5000,0.0000,37.7528,-15.5000,0.0000,2026-08-12T17:57:10.445,3,170.025000000,169.900000000,0.017521047,0.001972704,-0.8154,0.5789,0.0000,95,75,40,16,1531,18,1,1,1,33.5454,-17.2748,0.7000
55,2026-08-12T18:00:28.556,174.043000000,174.009000000,world,world,1,1,33.6324,-18.1734,0.2757,35.5408,-20.3782,0.0000,35.5408,-20.3782,0.0000,2026-08-12T17:57:10.445,4,174.024000000,173.900000000,0.015748774,0.001303600,-0.8154,0.5789,0.0000,95,75,40,16,1531,18,1,1,1,38.5679,-21.2423,0.7000
56,2026-08-12T18:00:46.280,188.442000000,188.376000000,world,world,1,1,36.8593,-19.9379,0.2565,29.7675,-69.5310,0.0000,29.7675,-69.5310,0.0000,2026-08-12T17:57:10.445,5,188.406000000,188.300000000,0.014268132,0.001135073,0.3969,0.9178,0.0000,95,75,40,16,1240,44,1,1,1,35.5408,-20.3782,0.7000
57,2026-08-12T18:47:36.671,29.725000000,29.354000000,world,world,1,1,3.9759,18.0001,0.2912,30.1457,-37.0136,0.0000,30.1457,-37.0136,0.0000,2026-08-12T18:47:08.927,1,29.712000000,29.200000000,0.000003566,0.468384762,1.0000,-0.0001,0.0000,8,4,0,3,152,15,0,0,0,0.0000,0.0000,0.0000
58,2026-08-12T18:51:44.795,232.133000000,231.892000000,world,world,1,1,-12.7044,-24.5973,0.2757,-12.3286,-25.6023,0.0000,-12.3286,-25.6023,0.0000,2026-08-12T18:47:08.927,2,232.120000000,232.000000000,0.013110947,0.001040743,0.9923,0.1238,0.0000,60,54,4,0,843,12,1,1,1,-14.7571,-42.8898,0.2674
59,2026-08-12T18:51:50.695,236.922000000,236.580000000,world,world,1,1,-11.4911,-25.8729,0.2431,-4.4451,-47.9991,0.0000,-4.4451,-47.9991,0.0000,2026-08-12T18:47:08.927,3,236.912000000,236.400000000,0.000003389,0.491773313,-0.2156,-0.9765,0.0000,60,54,4,0,842,15,0,1,1,-12.3286,-25.6023,0.7000
60,2026-08-12T18:51:59.177,243.736000000,243.497000000,world,world,1,1,-14.3471,-30.1007,0.2627,32.1347,-47.7278,0.0000,32.1347,-47.7278,0.0000,2026-08-12T18:47:08.927,4,243.706000000,243.600000000,0.015941496,0.001229671,-0.8433,-0.5374,0.0000,61,56,5,0,839,3,1,1,1,-27.4971,-36.4920,0.2575
61,2026-08-12T18:53:09.956,300.947000000,300.915000000,world,world,1,1,0.1021,-46.3729,0.2655,19.9729,-66.8009,0.0000,19.9729,-66.8009,0.0000,2026-08-12T18:47:08.927,5,300.908000000,300.800000000,0.022437290,0.002202466,1.0000,-0.0075,0.0000,88,76,15,0,1346,0,1,1,1,32.1347,-47.7278,0.0000
62,2026-08-12T18:58:45.165,568.121000000,567.774000000,world,world,1,1,-32.4552,31.4589,0.2693,-27.1274,22.9644,0.0000,-27.1274,22.9644,0.0000,2026-08-12T18:47:08.927,6,568.112000000,567.600000000,0.000002928,0.473204025,-0.7649,-0.6442,0.0000,132,126,7,0,1318,0,0,1,1,-32.4369,30.3866,0.7000
63,2026-08-12T18:58:50.827,572.569000000,572.379000000,world,world,1,1,-32.3240,28.4476,0.2562,3.4968,-61.1046,0.0000,3.4968,-61.1046,0.0000,2026-08-12T18:47:08.927,7,572.500000000,572.300000000,0.058132512,0.004861574,0.6280,-0.7782,0.0000,130,126,5,0,892,0,1,1,1,-27.1274,22.9644,0.0000
64,2026-08-12T19:37:16.523,72.724000000,72.423000000,world,world,1,1,3.9759,18.0001,0.2912,31.7496,-96.9328,0.0000,31.7496,-96.9328,0.0000,2026-08-12T19:36:44.961,1,72.718000000,72.600000000,0.000552175,0.000074915,1.0000,-0.0001,0.0000,8,4,0,3,152,15,1,0,0,0.0000,0.0000,0.0000
